Date,Order ID,SKU,Transaction type,Payment Type,Payment Detail,Amount,Quantity,Product Title
27-May-16,111-4876069-6708225,GK-51IE-0Z62,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
27-May-16,111-4876069-6708225,GK-51IE-0Z62,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
27-May-16,111-4876069-6708225,GK-51IE-0Z62,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.80,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
27-May-16,111-4876069-6708225,GK-51IE-0Z62,Order Payment,Amazon fees,Shipping Chargeback,-$8.99,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
27-May-16,111-4876069-6708225,GK-51IE-0Z62,Order Payment,Product charges,,$11.99,1,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
27-May-16,111-4876069-6708225,GK-51IE-0Z62,Order Payment,Other,Shipping,$8.99,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
27-May-16,104-7164406-0309869,0B-682D-5E7G,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.00,,Disney Finding Nemo Friends Cupcake Rings - 24 ct
27-May-16,104-7164406-0309869,0B-682D-5E7G,Order Payment,Product charges,,$3.99,1,Disney Finding Nemo Friends Cupcake Rings - 24 ct
27-May-16,106-1402992-2631448,41-GI3Q-UMAK,Order Payment,Amazon fees,Referral Fee on Item Price,-$6.90,,Geometric Style Water Resistant Printed Jumbo Canvas Beach Bag with Inner Wet Suit Pocket - Assorted Colors (Blue Squares)
27-May-16,106-1402992-2631448,41-GI3Q-UMAK,Order Payment,Product charges,,$22.99,1,Geometric Style Water Resistant Printed Jumbo Canvas Beach Bag with Inner Wet Suit Pocket - Assorted Colors (Blue Squares)
27-May-16,106-1402992-2631448,DB-DLER-1WBY,Order Payment,Product charges,,$22.99,1,Geometric Shape Water Resistant Printed Jumbo Canvas Beach Bag with Inner Wet Suit Pocket - Assorted Colors (Green Squares)
27-May-16,S01-1807659-9766111,,Order Payment,Amazon fees,FBA Order Handling Fee,-$4.75,,
27-May-16,S01-1807659-9766111,,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$0.75,,
27-May-16,S01-1807659-9766111,,Order Payment,Amazon fees,FBA transportation fee,-$0.45,,
27-May-16,108-2798182-8681060,MD-86QZ-5W4G,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
27-May-16,108-2798182-8681060,MD-86QZ-5W4G,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
27-May-16,108-2798182-8681060,MD-86QZ-5W4G,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
27-May-16,108-2798182-8681060,MD-86QZ-5W4G,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.00,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
27-May-16,108-2798182-8681060,MD-86QZ-5W4G,Order Payment,Product charges,,$19.99,1,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
26-May-16,002-2633218-1412229,0I-XXS3-8MCZ,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Gold)
26-May-16,002-2633218-1412229,0I-XXS3-8MCZ,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Gold)
26-May-16,002-2633218-1412229,0I-XXS3-8MCZ,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Gold)
26-May-16,002-2633218-1412229,0I-XXS3-8MCZ,Order Payment,Amazon fees,Referral Fee on Item Price,-$2.85,,Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Gold)
26-May-16,002-2633218-1412229,0I-XXS3-8MCZ,Order Payment,Product charges,,$18.99,1,Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Gold)
26-May-16,S01-5803711-5569303,,Order Payment,Amazon fees,FBA Order Handling Fee,-$4.75,,
26-May-16,S01-5803711-5569303,,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$0.75,,
26-May-16,S01-5803711-5569303,,Order Payment,Amazon fees,FBA transportation fee,-$0.45,,
26-May-16,103-0574698-6918645,CF-EMV0-5CEM,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.00,,12 Cupcake Toppers Rings Dora the Explorer Boots Gemstones Party Decorations
26-May-16,103-0574698-6918645,CF-EMV0-5CEM,Order Payment,Product charges,,$3.70,1,12 Cupcake Toppers Rings Dora the Explorer Boots Gemstones Party Decorations
25-May-16,113-6147332-4535405,SUA-790-PPK,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72"
25-May-16,113-6147332-4535405,SUA-790-PPK,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72"
25-May-16,113-6147332-4535405,SUA-790-PPK,Order Payment,Amazon fees,FBA Weight Handling Fee,-$1.95,,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72"
25-May-16,113-6147332-4535405,SUA-790-PPK,Order Payment,Amazon fees,Referral Fee on Item Price,-$2.85,,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72"
25-May-16,113-6147332-4535405,SUA-790-PPK,Order Payment,Product charges,,$18.99,1,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72"
25-May-16,108-9905636-9141046,35-4SHX-Y2N9,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,"Mental Beats ICON High Quality Earbuds with 4' FT Tangle Free Cable with Mic (Gold,)"
25-May-16,108-9905636-9141046,35-4SHX-Y2N9,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,"Mental Beats ICON High Quality Earbuds with 4' FT Tangle Free Cable with Mic (Gold,)"
25-May-16,108-9905636-9141046,35-4SHX-Y2N9,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,"Mental Beats ICON High Quality Earbuds with 4' FT Tangle Free Cable with Mic (Gold,)"
25-May-16,108-9905636-9141046,35-4SHX-Y2N9,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.80,,"Mental Beats ICON High Quality Earbuds with 4' FT Tangle Free Cable with Mic (Gold,)"
25-May-16,108-9905636-9141046,35-4SHX-Y2N9,Order Payment,Product charges,,$11.99,1,"Mental Beats ICON High Quality Earbuds with 4' FT Tangle Free Cable with Mic (Gold,)"
25-May-16,108-9905636-9141046,35-4SHX-Y2N9,Order Payment,Promo rebates,,$0.00,1,"Mental Beats ICON High Quality Earbuds with 4' FT Tangle Free Cable with Mic (Gold,)"
25-May-16,002-8051548-9195448,CM-W5HY-8L8C,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,"Bioworld Adventure Time Mountain Cinch Bag 13"", Blue/White"
