"Amazon fees - FBA Order Handling Fee","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price","Amazon fees - Shipping Chargeback",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Other - Shipping","Promo rebates - ","Promo rebates - Shipping","Amazon fees - FBA transportation fee","Amazon fees - Shipping commission"
,,,-$3.45,,18-May-16,113-8001936-4229006,99-YUZE-PWXK,"Order Payment","Product charges",,$22.99,1,"Floral Style Water Resistant Printed Jumbo Canvas Beach Bag with Inner Wet Suit Pocket - Assorted Colors (Blue Floral)",,,,,
,-$4.09,-$3.62,-$4.50,,17-May-16,116-5060519-3934600,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,
-$1.00,-$1.06,-$0.96,-$1.80,-$3.99,17-May-16,111-5896917-4453829,CM-O188-8KK2,"Order Payment","Product charges",,$11.99,1,"Mental Beats ICON High Quality Earbuds with 4' FT Tangle Free Cable with Mic (Black)",$3.99,,,,
-$1.00,-$1.06,-$0.50,-$1.05,,17-May-16,109-1303746-5033818,CA0-038-BBP,"Order Payment","Product charges",,$6.99,1,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)",,,,,
-$1.00,-$2.12,-$4.68,-$3.30,,17-May-16,002-4007356-1250613,0W-I967-F2HV,"Order Payment","Product charges",,$21.98,2,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)",,,,,
-$1.00,-$1.06,-$0.50,-$1.00,,17-May-16,105-8566330-9662636,6NH-FQV-FRP,"Order Payment","Product charges",,$5.55,1,"Post-it Note Tabs, 3-3/8 x 2-3/4-Inches, Green and Blue, Lined Paper, 25-Sheets/Pad, 2-Pads/Pack",,,,,
-$1.00,-$1.06,-$0.96,-$3.45,,17-May-16,114-8218223-8405848,35-XQ66-Y2X5,"Order Payment","Product charges",,$22.99,1,"Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (White)",,,,,
,,,-$3.45,,17-May-16,113-7402337-7372223,99-YUZE-PWXK,"Order Payment","Product charges",,$22.99,1,"Floral Style Water Resistant Printed Jumbo Canvas Beach Bag with Inner Wet Suit Pocket - Assorted Colors (Blue Floral)",,,,,
-$1.00,-$1.06,-$4.29,-$2.55,,17-May-16,104-6503550-7639468,BX-YPD9-FBE5,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)",,,,,
,-$4.09,-$3.62,-$3.75,,16-May-16,110-1573615-5448262,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",$2.56,$0.00,-$2.56,,
-$1.00,-$1.06,-$0.96,-$1.80,,16-May-16,109-9169227-8435420,Q0-OA97-BH2V,"Order Payment","Product charges",,$11.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,
-$1.00,-$2.12,-$3.90,-$3.30,,16-May-16,103-6973051-2361025,WE-YEB6-Q279,"Order Payment","Product charges",,$10.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Grey)",$4.89,$0.00,-$4.89,,
,,,-$2.00,,16-May-16,110-8349180-6036225,9G-CDVH-T2B4,"Order Payment","Product charges",,$7.94,2,"DecoPac How to Train Your Dragon 2 Hiccup and Friends Cupcake Rings (12 Count)",,,,,
,,,-$1.79,,16-May-16,108-1622863-7435455,R6-ADU0-UQOZ,"Order Payment","Product charges",,$11.94,1,"Sunbeam Ultra Slim Space Saving Multi Tier Velvet Trouser Hangers (Pack of 3)",,,,,
,,,-$2.85,,16-May-16,108-6923408-7189060,SUA-790-PPK,"Order Payment","Product charges",,$18.99,1,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72",,,,,
,,,-$2.55,,16-May-16,115-3949552-5054603,2H-FGMO-4THC,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Forrest Green)",,,,,
,,,-$1.00,,16-May-16,116-7160530-3293005,GFW-H58-E0F,"Order Payment","Product charges",,$6.20,1,"How to Train Your Dragon - Hiccup & Friends Cupcake Rings - 24 pcs",,,,,
,,,-$1.00,,16-May-16,104-9949038-1157806,GFW-H58-E0F,"Order Payment","Product charges",,$6.20,1,"How to Train Your Dragon - Hiccup & Friends Cupcake Rings - 24 pcs",,,,,
,,,-$1.00,,16-May-16,111-0025605-6270675,9G-CDVH-T2B4,"Order Payment","Product charges",,$3.97,1,"DecoPac How to Train Your Dragon 2 Hiccup and Friends Cupcake Rings (12 Count)",,,,,
,-$4.09,-$3.62,-$4.50,,16-May-16,103-4550867-4461057,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"D&S 18.5-Inch-by-11.5-Inch-by-3.5-Inch Contour Bamboo Memory Foam Pillow",$2.59,$0.00,-$2.59,,
-$1.00,-$1.06,-$0.96,-$3.75,,16-May-16,106-3006180-3064228,7W-PCJM-3BVK,"Order Payment","Product charges",,$24.99,1,"Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)",,,,,
-$1.00,-$1.06,-$0.96,-$3.00,,15-May-16,106-4218463-9372208,CW-OXZZ-VE7M,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)",,,,,
-$1.00,-$2.12,-$1.00,-$2.10,,15-May-16,116-1462713-7728258,CA0-038-BBP,"Order Payment","Product charges",,$13.98,2,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)",,,,,
