Date,Order ID,SKU,Transaction type,Payment Type,Payment Detail,Amount,Quantity,Product Title
27-Jun-16,116-5479100-8557823,Q0-OA97-BH2V,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
27-Jun-16,116-5479100-8557823,Q0-OA97-BH2V,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.65,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
27-Jun-16,116-5479100-8557823,Q0-OA97-BH2V,Order Payment,Product charges,,$10.99,1,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
27-Jun-16,107-3356634-8789004,Q0-OA97-BH2V,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
27-Jun-16,107-3356634-8789004,Q0-OA97-BH2V,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
27-Jun-16,107-3356634-8789004,Q0-OA97-BH2V,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
27-Jun-16,107-3356634-8789004,Q0-OA97-BH2V,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.65,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
27-Jun-16,107-3356634-8789004,Q0-OA97-BH2V,Order Payment,Product charges,,$10.99,1,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
26-Jun-16,115-2840285-3253053,VG6-VKY-SRF,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White"
26-Jun-16,115-2840285-3253053,VG6-VKY-SRF,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White"
26-Jun-16,115-2840285-3253053,VG6-VKY-SRF,Order Payment,Amazon fees,FBA Weight Handling Fee,-$1.95,,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White"
26-Jun-16,115-2840285-3253053,VG6-VKY-SRF,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.78,,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White"
26-Jun-16,115-2840285-3253053,VG6-VKY-SRF,Order Payment,Product charges,,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White"
26-Jun-16,115-2840285-3253053,VG6-VKY-SRF,Order Payment,Promo rebates,,$0.00,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White"
26-Jun-16,102-7045614-3325841,GK-51IE-0Z62,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
26-Jun-16,102-7045614-3325841,GK-51IE-0Z62,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
26-Jun-16,102-7045614-3325841,GK-51IE-0Z62,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
26-Jun-16,102-7045614-3325841,GK-51IE-0Z62,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.65,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
26-Jun-16,102-7045614-3325841,GK-51IE-0Z62,Order Payment,Product charges,,$10.99,1,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
26-Jun-16,102-7045614-3325841,GK-51IE-0Z62,Order Payment,Promo rebates,,$0.00,1,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
26-Jun-16,102-7045614-3325841,GK-51IE-0Z62,Order Payment,Promo rebates,Shipping,-$1.84,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
26-Jun-16,102-7045614-3325841,GK-51IE-0Z62,Order Payment,Other,Shipping,$1.84,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
26-Jun-16,110-5775952-7524232,MD-86QZ-5W4G,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
26-Jun-16,110-5775952-7524232,MD-86QZ-5W4G,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
26-Jun-16,110-5775952-7524232,MD-86QZ-5W4G,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
26-Jun-16,110-5775952-7524232,MD-86QZ-5W4G,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.00,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
26-Jun-16,110-5775952-7524232,MD-86QZ-5W4G,Order Payment,Product charges,,$19.99,1,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)
26-Jun-16,107-2101145-3470607,GK-51IE-0Z62,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
