"Amazon fees - FBA Order Handling Fee","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Amazon fees - Shipping Chargeback","Other - Shipping","Promo rebates - ","Promo rebates - Shipping","Amazon fees - FBA transportation fee","Amazon fees - Shipping commission"
-$1.00,-$1.06,-$2.34,-$1.65,21-Jun-16,109-5440797-7436208,0W-I967-F2HV,"Order Payment","Product charges",,$10.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)",,,,,,
-$1.00,-$1.06,-$3.51,-$1.65,21-Jun-16,110-5604687-3012224,13-PAI1-IANH,"Order Payment","Product charges",,$10.99,1,"Bioworld Regular Show Mordecai Hooded Blue Backpack",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,21-Jun-16,104-1952891-6777037,GK-51IE-0Z62,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",-$6.17,$6.17,,,,
-$4.75,-$0.75,,,,,,,,,,,,,,,,-$0.45,
-$1.00,-$1.06,-$2.34,-$1.65,21-Jun-16,116-6992990-3242604,0W-I967-F2HV,"Order Payment","Product charges",,$10.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)",,,,,,
-$1.00,-$1.46,-$0.50,-$1.20,21-Jun-16,113-3385191-0597828,5X-9Y91-79MY,"Order Payment","Product charges",,$7.99,1,"Cami Secret Set of 3 Clip-on Camisole, Black/Beige/White, One Size",,,,,,
-$1.00,-$1.46,-$0.50,-$1.20,21-Jun-16,115-1951445-8577039,5X-9Y91-79MY,"Order Payment","Product charges",,$7.99,1,"Cami Secret Set of 3 Clip-on Camisole, Black/Beige/White, One Size",,,,,,
-$1.00,-$1.46,-$0.50,-$1.20,21-Jun-16,107-3133154-9021046,5X-9Y91-79MY,"Order Payment","Product charges",,$7.99,1,"Cami Secret Set of 3 Clip-on Camisole, Black/Beige/White, One Size",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,21-Jun-16,105-4331820-8733052,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
-$1.00,-$1.46,-$0.50,-$1.20,21-Jun-16,113-2135861-1206621,5X-9Y91-79MY,"Order Payment","Product charges",,$7.99,1,"Cami Secret Set of 3 Clip-on Camisole, Black/Beige/White, One Size",,,,,,
-$1.00,-$1.46,-$0.50,-$1.20,20-Jun-16,114-8680419-3717063,5X-9Y91-79MY,"Order Payment","Product charges",,$7.99,1,"Cami Secret Set of 3 Clip-on Camisole, Black/Beige/White, One Size",,,,,,
-$1.00,-$2.92,-$1.00,-$2.40,20-Jun-16,106-9019635-2844208,5X-9Y91-79MY,"Order Payment","Product charges",,$15.98,2,"Cami Secret Set of 3 Clip-on Camisole, Black/Beige/White, One Size",,,,,,
-$1.00,-$1.46,-$0.50,-$1.20,20-Jun-16,112-2404733-6270613,5X-9Y91-79MY,"Order Payment","Product charges",,$7.99,1,"Cami Secret Set of 3 Clip-on Camisole, Black/Beige/White, One Size",,,,,,
,-$4.09,-$2.84,-$2.33,20-Jun-16,116-0875954-8709009,ZC7-SDK-9EZ,"Order Payment","Product charges",,$15.50,1,"Quickie Bulldozer 18-Inch Poly Split Fiber Push Broom",,,,,,
-$1.00,-$2.12,-$4.68,-$3.30,20-Jun-16,105-1419869-3389015,0W-I967-F2HV,"Order Payment","Product charges",,$21.98,2,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)",,,,,,
-$1.00,-$4.38,-$1.50,-$3.60,20-Jun-16,107-6480950-3819462,5X-9Y91-79MY,"Order Payment","Product charges",,$23.97,3,"Cami Secret Set of 3 Clip-on Camisole, Black/Beige/White, One Size",-$11.97,$11.97,,,,
-$1.00,-$1.46,-$0.50,-$1.20,20-Jun-16,114-0729555-1858669,5X-9Y91-79MY,"Order Payment","Product charges",,$7.99,1,"Cami Secret Set of 3 Clip-on Camisole, Black/Beige/White, One Size",,,,,,
,-$4.09,-$2.84,-$2.33,20-Jun-16,104-5139362-2677032,ZC7-SDK-9EZ,"Order Payment","Product charges",,$15.50,1,"Quickie Bulldozer 18-Inch Poly Split Fiber Push Broom",,,$0.00,,,
,-$4.09,-$2.84,-$2.33,20-Jun-16,102-3701164-5357822,ZC7-SDK-9EZ,"Order Payment","Product charges",,$15.50,1,"Quickie Bulldozer 18-Inch Poly Split Fiber Push Broom",,,,,,
-$1.00,-$8.76,-$3.00,-$7.20,20-Jun-16,115-5910981-2240234,5X-9Y91-79MY,"Order Payment","Product charges",,$47.94,6,"Cami Secret Set of 3 Clip-on Camisole, Black/Beige/White, One Size",,,,,,
,-$4.09,-$2.84,-$2.33,20-Jun-16,102-2739687-5303443,ZC7-SDK-9EZ,"Order Payment","Product charges",,$15.50,1,"Quickie Bulldozer 18-Inch Poly Split Fiber Push Broom",,,,,,
,-$4.09,-$2.84,-$2.33,20-Jun-16,107-9778043-8225045,ZC7-SDK-9EZ,"Order Payment","Product charges",,$15.50,1,"Quickie Bulldozer 18-Inch Poly Split Fiber Push Broom",,,,,,
,,,-$1.80,20-Jun-16,002-3140728-6821848,Q0-0DR2-BISB,"Order Payment","Product charges",,$11.99,1,"The Walking Dead Men's Lounge Pants (XLarge 40-42)",,,,,,
,,,-$2.55,20-Jun-16,102-6926587-2472219,2H-FGMO-4THC,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Forrest Green)",,,,,,
,,,-$2.25,20-Jun-16,002-0394598-8417866,914-AKS-SJ7,"Order Payment","Product charges",,$14.99,1,"Brita Sport Water Filter Bottle, Twin Pack, Blue and Violet, 20 Ounce",,,,,,
,-$4.09,-$2.84,-$2.33,20-Jun-16,113-1499518-5073043,ZC7-SDK-9EZ,"Order Payment","Product charges",,$15.50,1,"Quickie Bulldozer 18-Inch Poly Split Fiber Push Broom",,,,,,
-$1.00,-$1.46,-$0.50,-$1.20,20-Jun-16,103-5244339-0113011,5X-9Y91-79MY,"Order Payment","Product charges",,$7.99,1,"Cami Secret Set of 3 Clip-on Camisole, Black/Beige/White, One Size",,,,,,
-$1.00,-$1.06,-$1.95,-$1.78,20-Jun-16,108-9849550-6697835,VG6-VKY-SRF,"Order Payment","Product charges",,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",,,$0.00,,,
-$1.00,-$1.06,-$0.96,-$1.00,20-Jun-16,110-0795149-7044243,AU-EZ32-FNN0,"Order Payment","Product charges",,$8.99,1,"Xtreme Cables MFI 8 Pin 3ft Flat Tangle Free Sync & Charge Cable (Pink)",,,,,,
-$1.00,-$1.46,-$0.50,-$1.20,20-Jun-16,112-8839289-0769860,5X-9Y91-79MY,"Order Payment","Product charges",,$7.99,1,"Cami Secret Set of 3 Clip-on Camisole, Black/Beige/White, One Size",,,,,,
