"Amazon fees - FBA Order Handling Fee","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Amazon fees - Shipping Chargeback","Other - Shipping","Promo rebates - ","Amazon fees - FBA Amazon-Partnered Carrier Shipment Fee","Amazon fees - Subscription Fee","Promo rebates - Shipping","Amazon fees - Refund Administration Fee","FBA Inventory Reimbursement - Damaged:Warehouse - ","Amazon fees - FBA transportation fee","FBA Inventory Reimbursement - Lost:Warehouse - ","Amazon fees - Shipping commission","Amazon fees - FBA Inventory Storage Fee","Amazon fees - FBA Removal Order: Return Fee"
,-$4.09,-$3.62,-$3.00,20-Mar-16,109-8705917-4060201,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.00,20-Mar-16,002-2576583-4245847,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.00,20-Mar-16,109-0871589-4861036,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,20-Mar-16,113-5714078-2917822,22-Q94M-YDGP,"Order Payment","Product charges",,"$24.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.00,20-Mar-16,102-1266036-6290642,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,20-Mar-16,109-9756501-1956254,22-Q94M-YDGP,"Order Payment","Product charges",,"$24.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,20-Mar-16,105-6069764-6941841,22-Q94M-YDGP,"Order Payment","Product charges",,"$24.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$1.50,20-Mar-16,113-8064922-9233052,CW-OY03-VE7M,"Order Payment","Product charges",,"$19.99 ",1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Pink)",,,-$10.00,,,,,,,,,,
-$1.00,-$4.24,-$3.84,-$12.00,19-Mar-16,102-8934991-8105015,7W-PCJM-3BVK,"Order Payment","Product charges",,"$59.97 ",3,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)",-$3.69,"$3.69 ",,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,19-Mar-16,103-5232952-7177048,22-Q94M-YDGP,"Order Payment","Product charges",,"$24.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
