"Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Promo rebates - ","Promo rebates - Shipping","Other - Shipping","Amazon fees - Refund Administration Fee","Amazon fees - FBA Order Handling Fee","Amazon fees - Shipping Chargeback","Amazon fees - FBA Amazon-Partnered Carrier Shipment Fee","Amazon fees - Subscription Fee","FBA Inventory Reimbursement - Damaged:Warehouse - ","Amazon fees - FBA transportation fee","FBA Inventory Reimbursement - Lost:Warehouse - ","Amazon fees - Shipping commission","Amazon fees - FBA Inventory Storage Fee"
-$4.09,-$8.69,-$7.35,18-Mar-16,115-7863645-3673034,IM-VFRS-GRIO,"Order Payment","Product charges",,$48.99,1,"Humanscale Zon Air Purifier in Red",,,$12.99,,,-$12.99,,,,,,,
-$4.09,-$3.62,-$3.00,18-Mar-16,113-0287173-2823469,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-$36.66,,,,,,
-$1.06,-$0.96,-$3.75,18-Mar-16,116-8090404-9634622,7W-PCJM-3BVK,"Order Payment","Product charges",,$24.99,1,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)",,,$3.02,,-$1.00,-$3.02,,,,,,,
,,,,,,,,,,,,,,,,,,-$21.83,,,,,,
,,-$1.79,18-Mar-16,103-0161780-2246623,R6-ADU0-UQOZ,"Order Payment","Product charges",,$11.94,1,"Sunbeam Ultra Slim Space Saving Multi Tier Velvet Trouser Hangers (Pack of 3)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-$25.81,,,,,,
-$4.09,-$8.30,-$6.90,17-Mar-16,107-3883630-8786630,Q3-3IFR-V1ZN,"Order Payment","Product charges",,$45.99,1,"Humanscale Zon Air Purifier in White",,,$13.98,,,-$13.98,,,,,,,
-$4.09,-$3.62,-$3.75,17-Mar-16,105-4492154-7473056,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
-$1.06,-$0.96,-$2.25,17-Mar-16,103-1070836-4834617,7W-PCJO-3BVK,"Order Payment","Product charges",,$29.99,1,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)",-$15.00,,,,-$1.00,,,,,,,,
,,$1.50,17-Mar-16,110-5539552-0362626,22-Q94M-YDGP,Refund,"Product charges",,-$19.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",$10.00,,,-$0.30,,,,,,,,,
-$4.09,-$3.62,-$3.00,17-Mar-16,112-1490062-5119457,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
-$4.09,-$3.62,-$1.50,17-Mar-16,104-7562702-7821804,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$10.00,,,,,,,,,,,,
-$4.09,-$3.62,-$3.00,17-Mar-16,109-9207281-0361026,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
-$8.18,-$7.24,-$6.00,17-Mar-16,105-2259847-3920231,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
-$0.75,,,,,,,,,,,,,,,,-$4.75,,,,,-$0.45,,,
-$0.75,,,,,,,,,,,,,,,,-$4.75,,,,,-$0.45,,,
-$4.09,-$3.62,-$3.00,17-Mar-16,002-3349759-4059469,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
-$4.09,-$3.62,-$3.00,17-Mar-16,104-1761390-6751430,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
-$4.09,-$3.62,-$3.00,17-Mar-16,110-5066560-9452223,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
-$4.09,-$3.62,-$3.00,17-Mar-16,114-8721682-4117023,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,,$1.65,17-Mar-16,107-7460631-6167467,NQ-GB63-SEVD,Refund,"Product charges",,-$10.99,1,"Guardmax - Bedbug Proof/Waterproof Pillow Protector - Zippered Style - Set of 2 - Quiet! - Standard Size (20""x26"")",,,,-$0.33,,,,,,,,,
-$4.09,-$3.62,-$3.00,16-Mar-16,107-5667101-9650632,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,,$3.00,16-Mar-16,115-2500418-3867417,22-Q94M-YDGP,Refund,"Product charges",,-$19.99,1,"Infused Cool Gel Ventilated Core Memory Foam Hypoallergenic Standard Pillow",,,,-$0.60,,,,,,,,,
,,$1.50,16-Mar-16,107-8779554-4830620,22-Q94M-YDGP,Refund,"Product charges",,-$19.99,1,"Hypoallergenic Infused Cool Gel Ventilated Core Memory Foam Standard 18.5""x11.5""x3.5""in Pillow",$10.00,,,-$0.30,,,,,,,,,
-$4.09,-$3.62,-$3.00,16-Mar-16,115-3970459-1337068,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
