"Date","Order ID","SKU","Transaction type","Payment Type","Payment Detail","Amount",,"Quantity","Product Title"
"27-Mar-16","111-5425280-2638624","7W-PCJO-3BVK","Order Payment","Product charges",,"$24.99 ",,"1","Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)"
"27-Mar-16","111-5425280-2638624","7W-PCJO-3BVK","Order Payment","Promo rebates",,"($12.50)",,"1","Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)"
"27-Mar-16","111-5425280-2638624","7W-PCJO-3BVK","Order Payment","Other","Shipping","$5.55 ",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)"
"27-Mar-16","115-1185381-7469828","FV-XXFT-7P69","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"My Little Pony Soft Tote Lunch Box"
"27-Mar-16","115-1185381-7469828","FV-XXFT-7P69","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"My Little Pony Soft Tote Lunch Box"
"27-Mar-16","115-1185381-7469828","FV-XXFT-7P69","Order Payment","Amazon fees","FBA Weight Handling Fee","($0.96)",,,"My Little Pony Soft Tote Lunch Box"
"27-Mar-16","115-1185381-7469828","FV-XXFT-7P69","Order Payment","Amazon fees","Referral Fee on Item Price","($1.35)",,,"My Little Pony Soft Tote Lunch Box"
"27-Mar-16","115-1185381-7469828","FV-XXFT-7P69","Order Payment","Product charges",,"$8.99 ",,"1","My Little Pony Soft Tote Lunch Box"
"27-Mar-16","113-6807343-8573834","3Y-2VGV-AZ21","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"27-Mar-16","113-6807343-8573834","3Y-2VGV-AZ21","Order Payment","Amazon fees","FBA Weight Handling Fee","($4.01)",,,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"27-Mar-16","113-6807343-8573834","3Y-2VGV-AZ21","Order Payment","Amazon fees","Referral Fee on Item Price","($2.25)",,,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"27-Mar-16","113-6807343-8573834","3Y-2VGV-AZ21","Order Payment","Product charges",,"$29.99 ",,"1","Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"27-Mar-16","113-6807343-8573834","3Y-2VGV-AZ21","Order Payment","Promo rebates",,"($15.00)",,"1","Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"26-Mar-16","114-3798482-8674607","22-Q94M-YDGP","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"26-Mar-16","114-3798482-8674607","22-Q94M-YDGP","Order Payment","Amazon fees","FBA Weight Handling Fee","($3.62)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
